Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
229,46.7529,-47.1802,63.5376,-0.1919,0.9292,-0.0615,133.5697,-92.4481,-43.8111
230,46.4478,-46.814,62.1338,-0.1987,0.9175,-0.062,131.6339,-79.8934,-65.7166
231,44.5557,-44.9829,59.082,-0.2041,0.9146,-0.0674,135.5055,-86.7414,-53.1991
232,43.457,-43.8843,57.8613,-0.2007,0.916,-0.0645,143.2487,-79.8934,-40.6817
233,42.3584,-42.9077,56.5186,-0.1958,0.9175,-0.064,143.2487,-79.8934,-40.6817
234,40.7715,-40.9546,53.5889,-0.1934,0.9121,-0.0737,131.6339,-84.4587,-46.9404
235,39.978,-39.7949,51.8799,-0.1938,0.9048,-0.0806,137.4413,-78.7521,-56.3285
236,37.7808,-37.1094,48.1567,-0.1958,0.8853,-0.0972,137.4413,-78.7521,-56.3285
237,36.377,-35.5225,46.1426,-0.1973,0.8823,-0.103,125.8265,-67.3387,-56.3285
238,32.8369,-32.2266,41.9922,-0.2026,0.877,-0.1113,141.3129,-69.6214,-31.2936
239,31.311,-30.6396,39.6118,-0.1924,0.8633,-0.1113,123.8908,-66.1974,-40.6817
240,28.6865,-27.71,33.6304,-0.1924,0.8623,-0.1055,123.8908,-66.1974,-40.6817
241,27.2217,-26.3672,31.0669,-0.1875,0.8384,-0.103,131.6339,-63.9147,-40.6817
242,25.8179,-24.5972,28.1982,-0.1826,0.8125,-0.1108,139.3771,-70.7627,-46.9404
243,21.4844,-21.3623,20.4468,-0.1851,0.7803,-0.1064,127.7624,-63.9147,-21.9055
244,18.4937,-19.4702,16.1743,-0.1855,0.7764,-0.104,127.7624,-63.9147,-21.9055
245,11.2915,-15.8691,7.9346,-0.1826,0.79,-0.0967,127.7624,-63.9147,-40.6817
